batch_size,seed,method,worst_case,robust_gap,avg_ref,decoy_mass,entropy,kl_to_ref
exact,0,RONPO-exact,0.2880738378984683,0.005899984213336151,0.5331709305917297,0.34037595867270615,1.3864971357761648,0.6929444059036713
8,0,RONPO-stochastic,0.19904578841132392,0.09492803370048053,0.5030871020671258,0.17030909430862368,2.066374168781682,0.013067372898153636
16,0,RONPO-stochastic,0.2027228299739452,0.09125099213785925,0.49942337829088884,0.19129990269042016,1.9937513320019082,0.08569020967792768
32,0,RONPO-stochastic,0.2181900761747337,0.07578374593707074,0.5141807971500171,0.0655829048863083,1.8843958748073004,0.19504566687253552
64,0,RONPO-stochastic,0.26618106510333644,0.027792757008468005,0.5166193727559075,0.19390573080563384,1.8051109921621218,0.27433054951771374
128,0,RONPO-stochastic,0.2597116768097742,0.034262145302030256,0.524458597217819,0.2645336631092595,1.685597053031836,0.3938444886479997
256,0,RONPO-stochastic,0.24522589261273636,0.04874792949906809,0.5222513394933374,0.2401357369750612,1.8691970270042653,0.21024451467557048
512,0,RONPO-stochastic,0.24924893353776917,0.04472488857403528,0.523750273730666,0.24390283460774598,1.8252051026197365,0.2542364390600994
exact,1,RONPO-exact,0.28818439191804573,0.03018465530277964,0.5353336503089224,0.3404815944510144,1.385417909718992,0.6940236319608435
8,1,RONPO-stochastic,0.1855603510721477,0.13280869614867769,0.49620897448909446,0.07867355438057437,1.814628590498853,0.2648129511809827
16,1,RONPO-stochastic,0.209110917582383,0.10925812963844236,0.5116347817684078,0.04759499069816685,1.9493393739435123,0.13010216773632327
32,1,RONPO-stochastic,0.234795053638845,0.08357399358198037,0.5055295434636116,0.20647601182467393,1.8125875694765505,0.26685397220328544
64,1,RONPO-stochastic,0.2125510064008219,0.10581804082000348,0.5073474038719834,0.23536392071623255,1.9458482819831944,0.1335932596966414
128,1,RONPO-stochastic,0.23345258868416502,0.08491645853666036,0.524840875279385,0.2599607294174073,1.8413697696816003,0.2380717719982351
256,1,RONPO-stochastic,0.24211841449368904,0.07625063272713634,0.5241277339692163,0.2978608206542515,1.74382977679139,0.33561176488844574
512,1,RONPO-stochastic,0.24153856266508233,0.07683048455574304,0.5209157778267112,0.2486326811909294,1.8744746504435263,0.20496689123630923
exact,2,RONPO-exact,0.28788141899178565,0.03724331634853878,0.5288059453569406,0.34020210666874906,1.3886570319805136,0.6907845096993225
8,2,RONPO-stochastic,0.19675834062918088,0.12836639471114356,0.49275854242007394,0.09027987244214339,2.019263653795515,0.06017788788432059
16,2,RONPO-stochastic,0.21017351242461607,0.11495122291570836,0.5022124718701376,0.15031212947264128,2.0276426702716055,0.05179887140823037
32,2,RONPO-stochastic,0.21007268880158447,0.11505204653873996,0.5107546137940943,0.1813670242578621,1.9892368788326686,0.09020466284716724
